title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Senior AWS DevOps Engineer,IBM - Avature,"London, UK","In this role, you'll work in one of our IBM Consulting Client Innovation Centres (Delivery Centres), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centres offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'll work with …",54848.84,54848.84,contract,2025-04-29T22:12:46Z,https://www.adzuna.co.uk/jobs/land/ad/5169438844?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=373A423FABD2A9EDB29C37118AEC3AA382587431,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer,Guidant Global,"London, UK","DevOps Engineer Contract onsite in London Day rate: £538 - £687 per day inside IR35 We're currently seeking an accomplished and highly ambitious DevOps Engineer to work with our exceptional client, a world class brand in a secure environment to drive major business transformation, process and technical change across this complex organisation. The contract role will require you to conduct security clearance prior to assignment. The DevOps Engineer role is conducted in an environment that is far …",139880,178620,contract,2025-05-01T22:39:58Z,https://www.adzuna.co.uk/jobs/land/ad/5174739060?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=B046BFCAEDFC2557DC7623EB9A886E08B81CBB4E,IT Jobs,devops,gb,devops,standard,False,False
Azure DevOps Engineer,DGH Recruitment,"Stratford, East London","Azure DevOps Engineer DGH Recruitment are currently recruiting on behalf of a leading client in the Real Estate industry who require an Azure DevOps Engineer to join the team in East London. You will be responsible designing, developing, testing, and deploying software that enhances all aspects of business activity, from deploying patches to complex builds. Key Responsibilities: * Develop a culture of DevOps within an emerging agile environment, focusing on providing incremental value throughou…",70000,70000,permanent,2025-04-30T02:33:17Z,https://www.adzuna.co.uk/jobs/land/ad/5169700097?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=37C0A8EC2C24972CE48B823D06064CC1F6BFEA44,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer Kubernetes,Career Legal Ltd,"Reigate, Surrey","Senior Engineer (SRE / DevOps) £80,000  benefits Surrey & Remote Skills sought: - Extensive experience with Azure AKS Kubernetes building clusters (several) is key for this role. -Experience with observability, monitoring, and performance tools; Data Dog would be an advantage; however, other tools will be considered. - Depth of Azure experience is fundamental for this role; the business are not a ""multi cloud environment""; have a tailored partnership with Microsoft. - DevOps experience; IaC (Te…",80000,80000,permanent,2025-04-24T22:18:14Z,https://www.adzuna.co.uk/jobs/land/ad/5161190048?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=532999EA5B9AE7B87B22A049E674623D99D4427B,IT Jobs,devops,gb,devops,standard,True,False
CTO/DevOps Lead,ADLIB Recruitment,"St. Augustines, Bristol","Join a small fully remote UK based business committed to growth, integrity, and collaboration. Highly supportive working environment with a focus on improving and learning new skills, as well as employee wellbeing. Very impressive staff retention rates people LOVE working here! I am working very closely with a technology company servicing the worlds major entertainment and music brands, founded in 2004. Over the past 20 years, the team has developed platforms for over 50 global clients and agen…",100000,100000,permanent,2025-04-16T17:58:48Z,https://www.adzuna.co.uk/jobs/land/ad/5147556015?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=599ED24FB814F37B1A08EDFA2C4DF6BD3C5F5B1B,IT Jobs,devops,gb,devops,standard,True,True
Junior DevOps Engineer,Sparta Global Limited,"Liverpool, Merseyside","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",24000,24000,permanent,2025-04-01T17:08:29Z,https://www.adzuna.co.uk/jobs/land/ad/5121751458?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=532BF3B22938993E69BA81B09D3529E77F91EE33,IT Jobs,devops,gb,devops,standard,False,True
Linux DevOps/SRE,LA International Computer Consultants Ltd,"South East London, London","Our client is looking for a Linux DevOps/SRE to join their Linux team on a 12 month initial contract, working hybrid out of the client site in London. The client is looking for someone experienced in automating infrastructure technology functions and services. This person will take manual infrastructure build tasks and design solutions to automate those build processes using Ansible and Terraform. The primary focus is to automate infrastructure builds and help the client use Amazon's cloud serv…",91000,104000,contract,2025-05-01T22:39:58Z,https://www.adzuna.co.uk/jobs/land/ad/5174739063?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=BB1CB42244E0A2AB39B969AB984FEACF3601E78A,IT Jobs,devops,gb,devops,standard,False,False
Devops / Platform Engineer,Halian Technology Limited,"London, UK","My client is a fast-growing FinTech company on a mission to revolutionise the financial services industry through cutting-edge technology and a customer-first approach. Our platform supports thousands of users, and they're scaling rapidly both in terms of traffic and product offering. To support this growth, were looking for a talented DevOps / Platform Engineer to join our team and help build the infrastructure that powers our next generation of products. Role Overview Youll be a key member of…",70000,70000,permanent,2025-05-01T14:39:56Z,https://www.adzuna.co.uk/jobs/land/ad/5173067774?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=317D89272226E5B4B39145C204D2F2FA18527C1A,IT Jobs,devops,gb,devops,standard,False,False
"DevOps Engineer - Active SC Clearance, Cloud",HAYS,"London, UK","DevOps Engineer - Active SC Clearance, Cloud, Kubernetes DevOps Engineer - Active SC Clearance, Cloud, Kubernetes, CI/CDUp to £550 per day (Inside IR35 - Umbrella)London / Primarily Remote6 months My Client is an International Consultancy, who require Senior DevOps Engineer that holds Active SC (Security) Clearance, with AWS, Kubernetes and CI/CD skills to work closely with a key end client. Key Requirements: Active Security Clearance (SC) Proven experience as a Senior DevOps Engineer Expertise…",143000,143000,contract,2025-05-04T11:55:25Z,https://www.adzuna.co.uk/jobs/land/ad/5180046570?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=B6B45CD378F6A3449785C3D9D7B6D0BEEA1DABCC,IT Jobs,devops,gb,devops,standard,True,True
DevOps Engineer,Aviva,"Glasgow, Scotland","DevOps Engineer Salary: £50,000 - £60,000 Are you passionate about driving innovation and eager to deliver impactful change? Do you want to play a pivotal role in shaping a dynamic DevOps team, working together to enhance operational efficiency and solve real business challenges in a rapidly evolving industry? If yes, then you might be the ideal candidate for this exciting opportunity to make your mark as a DevOps Engineer with Aviva. Join us in transforming the insurance industry through cutti…",42920.33,42920.33,,2025-05-01T19:17:51Z,https://www.adzuna.co.uk/jobs/land/ad/5174045763?se=pKUZZu4o8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=4E2E876C3861DEA549305205A3978A49D11DDF47,IT Jobs,devops,gb,devops,standard,False,False
